name,x,y
longley,427345,562553
longley,434314,563340
longley,434468,566971
longley,445586,566829
longley,437748,557036
longley,444336,559165
longley,436324,559025
longley,441059,561136
longley,477538,161104
longley,538557,157058
longley,536420,271769
longley,508366,429420
longley,510563,432224
longley,473242,251821
longley,376873,251837
longley,378898,250745
longley,376337,254517
longley,377501,252288
longley,378417,255120
longley,321407,522574
longley,325528,527171
longley,302462,516897
longley,335664,369027
longley,332613,371845
longley,385238,362297
longley,384566,360254
longley,383473,368398
longley,375524,365161
longley,372970,366256
longley,366964,347818
longley,369005,357308
longley,338360,379353
longley,358090,374172
longley,365980,373648
longley,356688,382385
longley,379955,432161
longley,381835,435842
longley,381516,426851
longley,376758,431649
longley,351326,420326
longley,351225,419681
longley,329063,432167
longley,332946,425441
longley,353052,474274
longley,350782,466271
longley,349566,471846
longley,351718,433708
longley,374595,447258
longley,382638,419515
longley,353167,408481
longley,344992,401092
longley,346805,410315
longley,346034,406190
longley,370161,424527
longley,368953,427901
longley,372908,425587
longley,336621,435257
longley,333343,435428
longley,334744,431873
longley,326479,437528
longley,378104,395239
longley,378463,396499
longley,379245,395902
longley,391331,395670
longley,384753,390308
longley,386816,397253
longley,382250,391706
longley,389447,396287
longley,388799,402058
longley,396471,403072
longley,391005,404065
longley,394124,394204
longley,394843,397970
longley,398567,399146
longley,392798,403511
longley,393748,406348
longley,394223,405130
longley,396541,394587
longley,396257,402612
longley,393792,397089
longley,393194,395517
longley,395588,398591
longley,394574,397474
longley,386651,398219
longley,388346,394249
longley,390131,399381
longley,378433,390895
longley,376647,386264
longley,372303,391233
longley,371917,392049
longley,378650,390790
longley,376472,385803
longley,372402,397158
longley,183750,50503
longley,458343,303577
longley,454029,307205
longley,395568,396221
longley,380421,395323
longley,352237,453946
longley,397156,394261
longley,444804,501406
longley,442516,147265
longley,550591,171985
longley,551607,175201
longley,542797,167678
longley,550723,170827
longley,544228,180349
longley,541429,174793
longley,550639,178502
longley,547553,179178
longley,549359,178941
longley,546508,174255
longley,522389,436121
longley,521614,430886
longley,537287,172887
longley,537359,169372
longley,534361,163942
longley,539160,170649
longley,545221,163230
longley,530347,175459
longley,538415,170490
longley,534442,164691
longley,545961,167319
longley,547675,166862
longley,544868,165218
longley,544074,167558
longley,545440,171094
longley,539791,164807
longley,543403,168637
longley,537864,160059
longley,538686,166564
longley,539098,163628
longley,536704,170272
longley,543368,168743
longley,537420,164362
longley,535721,157023
longley,532405,160844
longley,529151,168960
longley,533845,163091
longley,534994,166646
longley,532565,161372
longley,537685,158423
longley,538113,171188
longley,533621,163600
longley,534740,162664
longley,538096,167159
longley,538655,164368
longley,528975,166690
longley,533888,162504
longley,538613,164427
longley,528670,162765
longley,536222,180908
longley,533325,189330
longley,529936,183346
longley,526219,189927
longley,527989,187076
longley,556279,183918
longley,549880,188421
longley,512773,181456
longley,507944,181196
longley,505058,182541
longley,514001,182969
longley,513873,177903
longley,512296,187819
longley,516239,178422
longley,518114,175974
longley,517872,163751
longley,520046,164734
longley,519382,171901
longley,522858,172505
longley,517338,172462
longley,519803,166440
longley,522007,170610
longley,519857,172289
longley,522252,162494
longley,520561,166272
longley,523849,169395
longley,518833,169210
longley,520440,163608
longley,518540,167973
longley,519644,165964
longley,522157,168231
longley,520606,166022
longley,513741,162581
longley,560878,221829
longley,530801,172410
longley,529780,170592
longley,535650,176737
longley,532270,172556
longley,529666,175309
longley,533596,172252
longley,529612,174367
longley,541308,178491
longley,532653,170273
longley,541120,175064
longley,536950,178862
longley,542366,179409
longley,538123,180447
longley,538765,190718
longley,544486,191623
longley,517713,168945
longley,519249,176379
longley,518489,176075
longley,516161,178268
longley,382420,349185
longley,378931,348201
longley,377854,346759
longley,375627,339906
longley,534531,189881
longley,527217,173809
longley,523148,171799
longley,530342,176717
longley,532625,175815
longley,523332,178540
longley,528249,178487
longley,532854,168614
longley,547732,178173
longley,543543,198221
longley,529045,162347
longley,531235,188213
longley,515137,175849
longley,515450,179246
longley,519669,170756
longley,482213,120962
longley,461923,455049
longley,551699,290732
longley,557929,282938
longley,481253,404374
longley,476656,405721
longley,346216,91206
longley,372210,100616
longley,572920,108575
longley,578279,111259
longley,567850,134405
longley,575491,106297
longley,490322,158012
longley,311561,114935
longley,311875,124091
longley,315332,124957
longley,311785,121909
longley,477366,446399
longley,500165,426681
longley,566701,158864
longley,571235,159187
longley,560108,156235
longley,443079,366269
longley,439833,376934
longley,436506,340422
longley,442887,342586
longley,446783,329439
longley,444407,333296
longley,431431,457392
longley,425564,455698
longley,432165,458186
longley,430940,450352
longley,432585,368738
longley,431889,369683
longley,449294,378069
longley,441103,377180
longley,434086,378716
longley,437703,374812
longley,440016,380793
longley,430236,377184
longley,440247,380881
longley,442247,380274
longley,448074,383372
longley,445394,374195
longley,440082,338661
longley,440458,337625
longley,439156,334348
longley,438210,334603
longley,443629,337195
longley,439273,339570
longley,435451,334853
longley,443285,339993
longley,443349,333878
longley,458619,311672
longley,463301,314214
longley,463251,317900
longley,454289,310820
longley,449970,320380
longley,452415,316391
longley,464500,317075
longley,465938,318908
longley,462520,319835
longley,452925,319539
longley,448866,319806
longley,468723,306504
longley,470076,289643
longley,472349,282339
longley,472654,287147
longley,475142,332315
longley,470994,318407
longley,474618,331442
longley,440120,315514
longley,444037,311767
longley,553375,370074
longley,552680,368718
longley,541567,315375
longley,492794,348150
longley,493068,346357
longley,506535,385745
longley,513670,389954
longley,506336,389547
longley,506931,292134
longley,498596,262256
longley,496602,266566
longley,498872,272121
longley,498853,268753
longley,494830,276676
longley,475625,243388
longley,448982,357887
longley,450103,349845
longley,456103,347981
longley,457195,346032
longley,473222,378878
longley,468322,377730
longley,472285,374861
longley,465609,377453
longley,464996,338141
longley,454812,346435
longley,458126,340162
longley,462715,346617
longley,463095,347616
longley,455549,353218
longley,461211,347868
longley,462782,349508
longley,464404,360163
longley,458949,359663
longley,482504,351944
longley,477482,349964
longley,460216,336056
longley,452853,338462
longley,451817,339569
longley,448964,345267
longley,454197,337769
longley,450939,340766
longley,448273,343263
longley,448401,338298
longley,455220,345425
longley,453386,343208
longley,455275,341777
longley,456504,340619
longley,456136,342343
longley,402391,306793
longley,396961,307903
longley,401374,308189
longley,398565,313671
longley,402057,313817
longley,383363,340555
longley,390433,339597
longley,396513,337417
longley,469379,287195
longley,501824,382374
longley,457219,339332
longley,465147,343747
longley,455229,345696
longley,455057,345763
longley,224879,101455
longley,493267,175085
longley,494014,182567
longley,331925,441415
longley,333422,434941
longley,333342,438603
longley,537175,166110
longley,545725,211766
longley,385142,395098
longley,364144,493461
longley,355965,494757
longley,355692,497423
longley,380914,487800
longley,381083,492796
longley,378771,493236
longley,171729,26644
longley,166021,23580
longley,220055,106352
longley,219929,103384
longley,221823,106936
longley,217793,103050
longley,224544,103714
longley,217928,107293
longley,295465,96529
longley,293545,92364
longley,291722,52969
longley,261257,51686
longley,268764,61420
longley,276308,46044
longley,270843,39461
longley,286844,66902
longley,276789,103806
longley,311206,112367
longley,267250,103976
longley,247133,53473
longley,247514,56048
longley,252426,54514
longley,252375,59130
longley,250643,58768
longley,251844,53057
longley,252413,59109
longley,247586,52576
longley,246127,56720
longley,248816,57747
longley,246031,58188
longley,251130,59817
longley,247378,52273
longley,246413,61262
longley,248362,59788
longley,290308,59858
longley,283311,62563
longley,288310,58143
longley,289912,61034
longley,291518,64786
longley,292633,62750
longley,420407,89152
longley,393504,93251
longley,406556,76163
longley,404545,75733
longley,350015,99652
longley,345390,95899
longley,346755,97712
longley,349895,95751
longley,344694,90757
longley,402458,95391
longley,411526,92050
longley,408337,87595
longley,409415,87791
longley,398948,99058
longley,397825,98921
longley,403804,91660
longley,402470,93787
longley,396504,98668
longley,402883,93343
longley,247022,126195
longley,185211,71304
longley,188473,70348
longley,246170,63409
longley,281428,51102
longley,280362,54126
longley,278724,57045
longley,525006,471062
longley,517724,475494
longley,518780,467304
longley,525629,473762
longley,499515,429657
longley,475394,426006
longley,472015,429141
longley,474547,420103
longley,501581,424868
longley,504534,430742
longley,521604,445157
longley,518378,449732
longley,497487,433817
longley,499662,432887
longley,520237,429942
longley,503980,429594
longley,524717,427233
longley,515532,427087
longley,521985,429504
longley,499736,421561
longley,530246,430155
longley,535566,423740
longley,476988,446339
longley,484913,444659
longley,493142,445825
longley,483475,436560
longley,486174,444076
longley,484137,449230
longley,488798,441520
longley,484092,439192
longley,395189,456230
longley,399192,453090
longley,403728,451507
longley,430762,460227
longley,424858,452189
longley,413718,504342
longley,514099,481781
longley,513919,484105
longley,505279,481750
longley,507022,492440
longley,498054,486520
longley,506623,483858
longley,504596,487702
longley,498747,483908
longley,492977,511215
longley,487674,513236
longley,455967,429243
longley,452630,420513
longley,455259,422783
longley,450488,417379
longley,459458,434668
longley,459134,435057
longley,456760,432298
longley,459031,433580
longley,449615,442180
longley,464408,452291
longley,457857,446363
longley,457815,455155
longley,466442,454597
longley,459213,456547
longley,457836,453754
longley,437690,410144
longley,440122,413694
longley,432739,416154
longley,443133,408180
longley,436626,410786
longley,432513,408854
longley,438464,409705
longley,429162,409290
longley,440124,411600
longley,433650,407214
longley,436219,405989
longley,436546,408533
longley,440390,399214
longley,441645,399161
longley,442976,399301
longley,454401,413568
longley,464177,402893
longley,464371,405640
longley,458094,405721
longley,459703,402864
longley,460107,419537
longley,450315,418545
longley,453845,401890
longley,450109,396696
longley,465276,404984
longley,458336,404630
longley,458799,413633
longley,457703,416121
longley,456005,413866
longley,457769,412022
longley,463586,411893
longley,463990,406892
longley,456020,395430
longley,458809,404520
longley,461029,403852
longley,448261,399206
longley,461737,416156
longley,451956,402996
longley,458098,398988
longley,462050,405501
longley,466019,403997
longley,454904,406836
longley,457071,401637
longley,449444,403910
longley,453619,401643
longley,446102,400407
longley,450597,397681
longley,453328,411015
longley,454285,411248
longley,443459,401225
longley,446865,403085
longley,439245,400091
longley,439737,397319
longley,455812,388368
longley,437134,387776
longley,446498,386407
longley,444705,391914
longley,439567,396910
longley,440834,395927
longley,446300,405395
longley,448500,386913
longley,443672,394567
longley,447610,387740
longley,446381,393500
longley,442672,404008
longley,448372,399923
longley,446140,403009
longley,439195,404087
longley,440253,402114
longley,443123,398631
longley,446295,399118
longley,448680,386563
longley,442404,382123
longley,441140,384700
longley,431157,382030
longley,434154,388085
longley,438237,381062
longley,442705,385816
longley,435329,397211
longley,434265,385145
longley,429608,395631
longley,438714,387748
longley,437652,387874
longley,441712,381443
longley,431232,397561
longley,433389,391004
longley,441792,382703
longley,442484,391076
longley,435162,390333
longley,437965,389535
longley,440090,389144
longley,439497,390127
longley,432772,391843
longley,438982,386676
longley,439969,387744
longley,433138,383999
longley,435181,391337
longley,433328,392339
longley,440167,379064
longley,447600,381423
longley,439771,381656
longley,436881,396511
longley,442100,382539
longley,441328,384889
longley,439016,396175
longley,440379,394978
longley,427987,387083
longley,435020,387878
longley,438442,379990
longley,435980,385203
longley,444701,386673
longley,429171,386596
longley,436906,392706
longley,433809,393550
longley,430929,385201
longley,436621,383356
longley,434798,388019
longley,435449,382183
longley,435735,388034
longley,430546,396310
longley,440387,390326
longley,436321,385998
longley,434473,388919
longley,437298,386209
longley,433924,379595
longley,434517,386311
longley,440625,380749
longley,430707,395322
longley,437859,386779
longley,429451,382529
longley,437998,394296
longley,431184,391460
longley,442877,392341
longley,434539,391930
longley,438816,394006
longley,427366,382504
longley,444169,382706
longley,432185,375686
longley,435250,377213
longley,443432,386432
longley,442942,379919
longley,436219,383373
longley,444885,383865
longley,442255,383521
longley,442422,389135
longley,432497,392098
longley,432740,391133
longley,431080,379166
longley,432818,390649
longley,412493,432228
longley,409230,437151
longley,412267,433072
longley,411630,438536
longley,419847,434447
longley,420753,440839
longley,422694,439886
longley,410716,437113
longley,410199,437318
longley,408423,435851
longley,419817,439701
longley,417703,433031
longley,420479,431580
longley,417169,431500
longley,416450,434031
longley,417068,436788
longley,417751,442237
longley,407832,444445
longley,411118,446911
longley,403643,442075
longley,406750,441169
longley,401069,432853
longley,402976,441209
longley,406951,438456
longley,401739,438828
longley,414628,437558
longley,411111,440087
longley,410508,441974
