name,x,y
novak,427830,565363
novak,333529,516974
novak,519860,263100
novak,521340,255348
novak,524656,275437
novak,520820,276970
novak,492038,97493
novak,506493,464051
novak,501115,459786
novak,493957,422365
novak,498774,424386
novak,343360,361519
novak,336034,362389
novak,341687,366384
novak,345476,364112
novak,338425,365882
novak,340142,363932
novak,336067,366924
novak,345030,365392
novak,338949,369581
novak,365592,359174
novak,368772,356358
novak,374571,351181
novak,369368,360653
novak,340390,372580
novak,335955,375520
novak,340500,370272
novak,338464,373853
novak,352058,391505
novak,335044,431580
novak,377176,432583
novak,377585,431066
novak,343528,459983
novak,374080,443256
novak,371044,437186
novak,373660,436014
novak,377110,444232
novak,374846,438899
novak,377717,441009
novak,374311,445428
novak,375235,440862
novak,378139,443493
novak,374549,439829
novak,377400,447015
novak,380911,424901
novak,379364,423064
novak,378325,419277
novak,369254,401100
novak,378076,404331
novak,373796,402522
novak,375964,402726
novak,371944,399887
novak,375194,395309
novak,375844,394925
novak,383883,395085
novak,384252,399891
novak,375719,402254
novak,381253,395282
novak,383696,394418
novak,388765,400440
novak,387387,394158
novak,394642,395272
novak,393063,396505
novak,379031,397201
novak,378606,394069
novak,367449,397516
novak,364773,405764
novak,367810,405402
novak,351486,400992
novak,353088,406833
novak,359864,405532
novak,358879,402136
novak,351891,404621
novak,361142,400409
novak,358478,397730
novak,459459,303724
novak,382319,384983
novak,352778,430578
novak,384371,419047
novak,375236,402323
novak,389200,394100
novak,374394,399373
novak,379846,390067
novak,535444,191243
novak,546372,187843
novak,546896,175466
novak,541258,166773
novak,531155,169295
novak,538820,166218
novak,541606,178930
novak,543654,176911
novak,541164,173597
novak,544580,178842
novak,541219,173146
novak,547767,181011
novak,531836,187164
novak,535322,189497
novak,515119,183404
novak,516117,194237
novak,514955,172874
novak,516660,180590
novak,513552,172320
novak,514591,172219
novak,512939,174527
novak,519846,179321
novak,546267,188088
novak,521799,174707
novak,516976,169624
novak,521829,170984
novak,517080,168076
novak,525203,170139
novak,521937,168496
novak,520180,171668
novak,535661,174654
novak,534019,178226
novak,528161,171604
novak,538423,194772
novak,533713,192826
novak,536631,191077
novak,541503,182418
novak,526241,176946
novak,527516,176739
novak,531152,166767
novak,524774,178795
novak,521468,178299
novak,528892,177809
novak,527560,178009
novak,524732,179620
novak,529993,187410
novak,529460,189654
novak,518504,175454
novak,524966,174873
novak,497848,175802
novak,493789,183169
novak,528373,185680
novak,486284,121462
novak,485720,117998
novak,550666,278626
novak,572872,110504
novak,573709,104158
novak,288034,64584
novak,287330,60393
novak,443518,342223
novak,442781,343342
novak,444430,343817
novak,443349,332006
novak,448121,329931
novak,435817,376632
novak,437331,329432
novak,441608,337860
novak,436708,337844
novak,468340,292522
novak,445732,290002
novak,464143,303065
novak,462127,302805
novak,467197,299245
novak,464867,299582
novak,457785,300129
novak,457420,299388
novak,534172,340988
novak,494051,339140
novak,489454,333768
novak,493060,269448
novak,491238,280723
novak,486503,280375
novak,485084,275588
novak,487563,279943
novak,379736,411256
novak,382632,407183
novak,378686,410803
novak,488023,268875
novak,452711,347620
novak,451396,344386
novak,458387,347320
novak,421796,327736
novak,386662,285474
novak,385353,285920
novak,382721,285369
novak,430511,341300
novak,304407,83379
novak,289747,53662
novak,294137,73602
novak,290271,77763
novak,260540,103221
novak,247915,54277
novak,242800,54350
novak,290284,62722
novak,290902,61439
novak,406161,96141
novak,406834,92432
novak,328439,139916
novak,408251,87173
novak,401093,84595
novak,506950,442003
novak,508201,434981
novak,427745,459894
novak,431514,457488
novak,434086,452591
novak,460693,449628
novak,462117,450907
novak,471977,405369
novak,456448,407567
novak,437438,386281
novak,440188,381722
novak,438488,389663
novak,435997,392476
novak,410638,428054
novak,409750,425624
novak,415891,437157
novak,418060,431524
novak,420581,431845
novak,420680,425119
novak,468714,137851
novak,449877,122681
novak,423544,90036
novak,443092,116302
novak,442093,108096
novak,444813,115528
novak,440770,116769
novak,448535,92367
novak,451772,96883
novak,616122,156172
novak,629957,142102
novak,548877,166759
novak,632340,170360
novak,565340,150279
novak,562086,136514
novak,505208,166002
novak,500586,162778
novak,502144,163383
novak,505661,165295
novak,485282,144651
novak,488700,142627
novak,500958,135364
novak,503598,132731
novak,530339,141004
novak,546982,134875
novak,546842,132673
novak,504400,146713
novak,490171,157498
novak,443734,107381
novak,435595,289507
novak,435640,290127
novak,434427,289828
novak,441959,293648
novak,433670,291159
novak,442315,294418
novak,453593,279598
novak,451763,278417
novak,406950,281414
novak,405925,275672
novak,528457,181805
novak,403970,281402
novak,404773,282048
novak,405983,282046
novak,403679,282059
novak,399057,278089
novak,435004,278864
novak,432879,286641
novak,434760,284914
novak,434849,278170
novak,399296,294714
novak,411106,278555
novak,437186,284005
novak,396869,283435
novak,409963,276229
novak,452159,278525
novak,451391,278120
novak,488442,278869
novak,501872,244913
novak,499049,223615
novak,506134,218901
novak,507319,221824
novak,511508,225281
novak,514457,221381
novak,489950,173265
novak,450392,164276
novak,493315,174603
novak,498783,206184
novak,483425,190831
novak,506416,206889
novak,507716,211333
novak,516748,192751
novak,513289,212468
novak,509609,196171
novak,519067,215857
novak,520611,217910
novak,523324,214857
novak,487984,175096
novak,533711,180522
novak,538169,181600
novak,400833,300179
