name,x,y
vandijk,361103,393909
vandijk,373793,441458
vandijk,347421,419745
vandijk,344346,420797
vandijk,365532,397115
vandijk,380901,384978
vandijk,372526,441345
vandijk,375861,387986
vandijk,382623,389552
vandijk,376901,392332
vandijk,535452,166331
vandijk,533862,189584
vandijk,538434,187040
vandijk,534258,190186
vandijk,528769,179994
vandijk,535406,173786
vandijk,537091,173821
vandijk,526476,170324
vandijk,524194,179923
vandijk,526462,185828
vandijk,533066,186549
vandijk,527362,178361
vandijk,533161,184974
vandijk,527315,181544
vandijk,586235,121206
vandijk,423601,325980
vandijk,444140,293631
vandijk,461587,290782
vandijk,459480,297515
vandijk,458607,314671
vandijk,391875,392794
vandijk,404817,90728
vandijk,483160,432348
vandijk,486748,433432
vandijk,492106,425590
vandijk,488962,429779
vandijk,464807,447665
vandijk,456502,460746
vandijk,459094,406928
vandijk,465203,404060
vandijk,434366,393531
vandijk,470407,106241
vandijk,472690,111825
vandijk,473114,105544
vandijk,442269,106215
vandijk,595376,151760
vandijk,628206,159458
vandijk,627655,163347
vandijk,629980,155546
vandijk,626890,145900
vandijk,575672,129140
vandijk,492553,154237
vandijk,501206,157750
vandijk,444796,117482
vandijk,522307,239640
vandijk,513771,224264
vandijk,515136,215793
vandijk,515083,209070
vandijk,484949,190078
vandijk,535457,179420
vandijk,527850,172908
vandijk,514106,295148
vandijk,565373,192607
vandijk,566865,195145
vandijk,631818,289228
vandijk,633589,289891
vandijk,650080,292023
vandijk,587941,218230
vandijk,611007,319436
vandijk,633800,276556
vandijk,631583,284545
vandijk,633228,279664
vandijk,323763,174696
vandijk,199439,217996
vandijk,199550,213327
vandijk,261591,196973
vandijk,447760,517079
vandijk,446174,514436
vandijk,426693,527941
vandijk,427436,527682
vandijk,422466,526460
vandijk,410978,531936
vandijk,429815,517087
vandijk,421567,516370
vandijk,424045,511135
vandijk,418266,526706
vandijk,288708,219108
vandijk,289006,224749
vandijk,289212,223430
vandijk,373994,165635
vandijk,375385,167560
vandijk,381322,258673
vandijk,458854,199639
vandijk,473058,203884
vandijk,436973,213732
vandijk,439221,207676
vandijk,509528,170043
vandijk,439834,386743
vandijk,416894,557765
vandijk,604384,268499
vandijk,605235,270566
vandijk,454642,201414
vandijk,533084,179086
vandijk,534620,119131
vandijk,536352,119591
vandijk,393892,657026
vandijk,390872,660613
vandijk,519191,180831
vandijk,520753,180085
vandijk,313106,729698
vandijk,372343,668472
vandijk,482144,259207
vandijk,370567,820236
vandijk,528976,184545
vandijk,535772,181820
vandijk,444693,513273
vandijk,489442,425344
vandijk,485139,432772
vandijk,492168,434414
vandijk,416846,316332
vandijk,412950,319345
vandijk,398003,217563
vandijk,360743,227896
vandijk,432339,246346
vandijk,438374,110676
vandijk,199503,211806
vandijk,533609,182145
vandijk,518693,206952
vandijk,524023,206185
vandijk,466629,285544
vandijk,606492,266748
vandijk,547626,262548
vandijk,525977,187829
vandijk,519600,189480
vandijk,526089,196611
vandijk,525635,183482
vandijk,530013,106891
vandijk,337859,163754
vandijk,454708,300631
vandijk,460416,304848
vandijk,463509,300963
vandijk,458741,305422
vandijk,462695,301820
vandijk,455092,304469
vandijk,526969,176239
vandijk,458575,96994
vandijk,357377,396823
vandijk,338530,399923
vandijk,523427,170575
vandijk,526159,171440
vandijk,618863,138114
vandijk,620375,139366
vandijk,531790,185868
vandijk,524369,184241
vandijk,531050,184391
vandijk,328165,672746
vandijk,324205,669603
vandijk,328655,671253
vandijk,333801,669778
vandijk,260057,664951
vandijk,257107,662834
vandijk,426816,245275
vandijk,433367,241075
vandijk,432481,243892
vandijk,376678,393666
vandijk,529027,171021
vandijk,447865,118772
vandijk,584553,189347
vandijk,325135,676038
